GenBank Accession	TAIR7 Locus	Tested in AD	Tested in DB	Vector type 1	Vector type 2
AY054141	AT2G38310	AD	DB	pENTR Sfi (SpecR)	
AY054142	AT2G39010	AD	DB	pENTR Sfi (SpecR)	
AY054143	AT4G30010	AD	DB	pENTR Sfi (SpecR)	
AY054145	AT1G07080	AD	DB	pENTR Sfi (SpecR)	
AY054148	AT1G79970	AD		pENTR Sfi (SpecR)	
AY054150	AT5G61880	AD	DB	pENTR Sfi (SpecR)	
AY054152	AT4G37300	AD	DB	pENTR Sfi (SpecR)	
AY054153	AT2G17240	AD	DB	pENTR Sfi (SpecR)	
AY054155	AT1G51570	AD	DB	pENTR Sfi (SpecR)	
AY054157	AT3G45443	AD	DB	pENTR Sfi (SpecR)	
AY055094	AT1G07440	AD	DB	pENTR Sfi (SpecR)	
AY055095	AT4G12600	AD	DB	pENTR Sfi (SpecR)	
AY055096	AT4G00810	AD	DB	pENTR Sfi (SpecR)	
AY055097	AT1G26800	AD	DB	pENTR Sfi (SpecR)	
AY055098	AT1G34570	AD	DB	pENTR Sfi (SpecR)	
AY055100	AT3G15640	AD	DB	pENTR Sfi (SpecR)	
AY055101	AT5G14070	AD	DB	pENTR Sfi (SpecR)	
AY055103	AT1G66580	AD	DB	pENTR Sfi (SpecR)	
AY055104	AT4G17486	AD	DB	pENTR Sfi (SpecR)	
AY055105	AT3G15190	AD		pENTR Sfi (SpecR)	
AY055106	AT1G09870	AD	DB	pENTR Sfi (SpecR)	
AY055785	AT4G19390	AD	DB	pENTR Sfi (SpecR)	
AY055786	AT5G20630	AD	DB	pENTR Sfi (SpecR)	
AY055788	AT2G11890	AD	DB	pENTR Sfi (SpecR)	
AY055789	AT1G26630	AD		pENTR Sfi (SpecR)	
AY055790	AT1G19570	AD	DB	pENTR Sfi (SpecR)	
AY055792	AT4G17270		DB	pENTR Sfi (SpecR)	
AY056061	AT3G51630	AD	DB	pENTR Sfi (SpecR)	
AY056062	AT1G51950	AD	DB	pENTR Sfi (SpecR)	
AY056063	AT4G17340	AD	DB	pENTR Sfi (SpecR)	
AY056066	AT5G05920	AD		pENTR Sfi (SpecR)	
AY056067	AT1G66140	AD	DB	pENTR Sfi (SpecR)	
AY056068	AT2G23600	AD	DB	pENTR Sfi (SpecR)	
AY056069	AT4G03320	AD	DB	pENTR Sfi (SpecR)	
AY056083	AT4G30260	AD	DB	pENTR Sfi (SpecR)	
AY056084	AT3G02420	AD	DB	pENTR Sfi (SpecR)	
AY056086	AT2G29420	AD		pENTR Sfi (SpecR)	
AY056087	AT3G08600	AD	DB	pENTR Sfi (SpecR)	
AY056088	AT3G60770		DB	pENTR Sfi (SpecR)	
AY056089	AT5G57120	AD	DB	pENTR Sfi (SpecR)	
AY056091	AT4G14430	AD	DB	pENTR Sfi (SpecR)	
AY056092	AT2G37250	AD	DB	pENTR Sfi (SpecR)	
AY056093	AT2G41940	AD	DB	pENTR Sfi (SpecR)	
AY056094	AT5G14910	AD	DB	pENTR Sfi (SpecR)	
AY056309	AT3G45240	AD	DB	pENTR Sfi (SpecR)	
AY056312	AT1G30530	AD		pENTR Sfi (SpecR)	
AY056313	AT4G26220	AD		pENTR Sfi (SpecR)	
AY056332	AT4G13020	AD		pENTR Sfi (SpecR)	
AY056333	AT1G54060	AD	DB	pENTR Sfi (SpecR)	
AY056337	AT5G63530	AD		pENTR Sfi (SpecR)	
AY056339	AT4G34120	AD	DB	pENTR Sfi (SpecR)	
AY056341	AT1G70490	AD		pENTR Sfi (SpecR)	
AY056342	AT1G80530	AD		pENTR Sfi (SpecR)	
AY056344	AT4G12720	AD	DB	pENTR Sfi (SpecR)	
AY056345	AT5G59880	AD	DB	pENTR Sfi (SpecR)	
AY056346	AT1G78820	AD		pENTR Sfi (SpecR)	
AY056347	AT2G01110	AD	DB	pENTR Sfi (SpecR)	
AY056348	AT4G37680	AD		pENTR Sfi (SpecR)	
AY056349	AT5G47030	AD		pENTR Sfi (SpecR)	
AY056351	AT5G03520	AD		pENTR Sfi (SpecR)	
AY056352	AT4G02220	AD		pENTR Sfi (SpecR)	
AY056353	AT1G19530	AD	DB	pENTR Sfi (SpecR)	
AY056355	AT5G01520		DB	pENTR Sfi (SpecR)	
AY056356	AT3G50830		DB	pENTR Sfi (SpecR)	
AY056357	AT2G41410	AD	DB	pENTR Sfi (SpecR)	
AY056359	AT2G30520		DB	pENTR Sfi (SpecR)	
AY056362	AT3G63000		DB	pENTR Sfi (SpecR)	
AY056368	AT3G11240		DB	pENTR Sfi (SpecR)	
AY056369	AT1G05340	AD		pENTR Sfi (SpecR)	
AY056371	AT2G27530	AD		pENTR Sfi (SpecR)	
AY057716	AT5G51720	AD	DB	pENTR Sfi (SpecR)	
AY057717	AT5G55290	AD		pENTR Sfi (SpecR)	
AY057718	AT5G16950	AD	DB	pENTR Sfi (SpecR)	
AY057719	AT2G31200	AD	DB	pENTR Sfi (SpecR)	
AY057720	AT4G39200		DB	pENTR Sfi (SpecR)	
AY057721	AT3G11930	AD		pENTR Sfi (SpecR)	
AY057723	AT5G10730	AD		pENTR Sfi (SpecR)	
AY057724	AT5G14920	AD	DB	pENTR Sfi (SpecR)	
AY057725	AT3G28930	AD	DB	pENTR Sfi (SpecR)	
AY057726	AT1G70850	AD	DB	pENTR Sfi (SpecR)	
AY057728	AT3G62290	AD	DB	pENTR Sfi (SpecR)	
AY057729	AT5G45040	AD	DB	pENTR Sfi (SpecR)	
AY057730	AT4G31985	AD	DB	pENTR Sfi (SpecR)	
AY057731	AT5G10780	AD		pENTR Sfi (SpecR)	
AY057735	AT5G54270	AD	DB	pENTR Sfi (SpecR)	
AY057741	AT3G09320	AD	DB	pENTR Sfi (SpecR)	
AY057743	AT3G42630	AD	DB	pENTR Sfi (SpecR)	
AY058221	AT4G36130	AD	DB	pENTR Sfi (SpecR)	
AY058222	AT1G22910	AD	DB	pENTR Sfi (SpecR)	
AY058223	AT4G35320	AD	DB	pENTR Sfi (SpecR)	
AY058225	AT3G16990	AD	DB	pENTR Sfi (SpecR)	
AY058226	No mapping	AD	DB	pENTR Sfi (SpecR)	
AY058227	AT2G46230	AD	DB	pENTR Sfi (SpecR)	
AY058228	AT5G19430	AD	DB	pENTR Sfi (SpecR)	
AY058229	AT3G02790	AD	DB	pENTR Sfi (SpecR)	
AY058232	AT2G02710	AD	DB	pENTR Sfi (SpecR)	
AY058234	AT1G71070	AD	DB	pENTR Sfi (SpecR)	
AY058235	AT2G04160	AD	DB	pENTR Sfi (SpecR)	
AY058236	AT1G29980	AD	DB	pENTR Sfi (SpecR)	
AY058237	AT1G11360	AD	DB	pENTR Sfi (SpecR)	
AY058239	AT2G14835	AD	DB	pENTR Sfi (SpecR)	
AY058240	AT4G31300	AD	DB	pENTR Sfi (SpecR)	
AY058241	AT4G08170	AD	DB	pENTR Sfi (SpecR)	
AY059070	AT4G25370	AD		pENTR Sfi (SpecR)	
AY059071	AT5G49510	AD	DB	pENTR Sfi (SpecR)	
AY059072	AT3G18820	AD		pENTR Sfi (SpecR)	
AY059074	AT2G27730	AD		pENTR Sfi (SpecR)	
AY059076	AT5G39730	AD		pENTR Sfi (SpecR)	
AY059077	AT2G20860	AD	DB	pENTR Sfi (SpecR)	
AY059079	AT3G62550	AD		pENTR Sfi (SpecR)	
AY059080	AT3G52590	AD		pENTR Sfi (SpecR)	
AY059081	AT5G59310	AD		pENTR Sfi (SpecR)	
AY059082	AT1G19660	AD		pENTR Sfi (SpecR)	
AY059083	AT3G06483	AD		pENTR Sfi (SpecR)	
AY059084	AT3G60620	AD		pENTR Sfi (SpecR)	
AY059085	AT2G20810	AD		pENTR Sfi (SpecR)	
AY059086	AT5G16400	AD		pENTR Sfi (SpecR)	
AY059087	AT1G72175	AD		pENTR Sfi (SpecR)	
AY059089	AT1G72450	AD		pENTR Sfi (SpecR)	
AY059090	AT3G53870	AD		pENTR Sfi (SpecR)	
AY059092	AT3G02380	AD		pENTR Sfi (SpecR)	
AY059093	AT1G68620	AD		pENTR Sfi (SpecR)	
AY059094	AT1G69295	AD		pENTR Sfi (SpecR)	
AY059095	AT2G22900	AD		pENTR Sfi (SpecR)	
AY059096	AT1G63970	AD		pENTR Sfi (SpecR)	
AY059098	AT1G03220	AD		pENTR Sfi (SpecR)	
AY059099	AT3G48210	AD		pENTR Sfi (SpecR)	
AY059101	AT3G49910	AD		pENTR Sfi (SpecR)	
AY059102	AT5G08335	AD	DB	pENTR Sfi (SpecR)	
AY059103	AT3G17810	AD		pENTR Sfi (SpecR)	
AY059104	AT4G32940	AD		pENTR Sfi (SpecR)	
AY059105	AT3G26100	AD		pENTR Sfi (SpecR)	
AY059106	AT2G38380	AD		pENTR Sfi (SpecR)	
AY059109	AT4G27585	AD		pENTR Sfi (SpecR)	
AY059111	AT5G45750	AD		pENTR Sfi (SpecR)	
AY059112	AT5G57490	AD		pENTR Sfi (SpecR)	
AY059113	AT5G09890	AD		pENTR Sfi (SpecR)	
AY059116	AT1G64350	AD		pENTR Sfi (SpecR)	
AY059117	AT3G09200	AD		pENTR Sfi (SpecR)	
AY059120	AT1G03110	AD		pENTR Sfi (SpecR)	
AY059122	AT4G36540	AD	DB	pENTR Sfi (SpecR)	
AY059123	AT1G20370	AD	DB	pENTR Sfi (SpecR)	
AY059124	AT2G35605	AD		pENTR Sfi (SpecR)	
AY059125	AT3G25920	AD		pENTR Sfi (SpecR)	
AY059126	AT1G53400	AD		pENTR Sfi (SpecR)	
AY059127	AT5G19370	AD		pENTR Sfi (SpecR)	
AY059128	AT3G22370	AD		pENTR Sfi (SpecR)	
AY059129	AT2G37220	AD		pENTR Sfi (SpecR)	
AY059130	AT5G05110	AD		pENTR Sfi (SpecR)	
AY059133	AT5G52040	AD		pENTR Sfi (SpecR)	
AY059134	AT2G36830	AD		pENTR Sfi (SpecR)	
AY059135	AT3G13672	AD		pENTR Sfi (SpecR)	
AY059139	AT5G65300	AD		pENTR Sfi (SpecR)	
AY059140	AT1G08640	AD		pENTR Sfi (SpecR)	
AY059142	AT1G73330	AD		pENTR Sfi (SpecR)	
AY059143	AT2G19790	AD		pENTR Sfi (SpecR)	
AY059144	AT3G55030	AD		pENTR Sfi (SpecR)	
AY059145	AT3G10620	AD		pENTR Sfi (SpecR)	
AY059146	AT5G48580	AD		pENTR Sfi (SpecR)	
AY059148	AT3G03250	AD	DB	pENTR Sfi (SpecR)	
