GenBank Accession	TAIR7 Locus	Tested in AD	Tested in DB	Vector type 1	Vector type 2
BT000030	AT1G80770	AD	DB		pENTR TOPO(KanR)
BT000031	AT1G19170	AD	DB		pENTR TOPO(KanR)
BT000032	AT1G12780	AD	DB		pENTR TOPO(KanR)
BT000033	AT4G32760	AD	DB		pENTR TOPO(KanR)
BT000035	AT3G53260	AD			pENTR TOPO(KanR)
BT000036	AT2G41100	AD	DB		pENTR TOPO(KanR)
BT000037	AT5G66530	AD	DB		pENTR TOPO(KanR)
BT000038	AT3G61240	AD	DB		pENTR TOPO(KanR)
BT000039	AT1G17145	AD	DB		pENTR TOPO(KanR)
BT000041	AT1G01550	AD			pENTR TOPO(KanR)
BT000042	AT2G37890	AD	DB		pENTR TOPO(KanR)
BT000044	AT2G39760	AD	DB		pENTR TOPO(KanR)
BT000045	AT3G12050	AD	DB		pENTR TOPO(KanR)
BT000046	AT3G04720	AD			pENTR TOPO(KanR)
BT000047	AT4G29410	AD	DB		pENTR TOPO(KanR)
BT000049	AT3G59060	AD			pENTR TOPO(KanR)
BT000050	AT4G17040	AD	DB		pENTR TOPO(KanR)
BT000051	AT3G56750	AD	DB		pENTR TOPO(KanR)
BT000052	AT4G23220	AD	DB		pENTR TOPO(KanR)
BT000053	AT2G48020	AD			pENTR TOPO(KanR)
BT000054	AT3G61590	AD	DB		pENTR TOPO(KanR)
BT000055	AT2G33590	AD	DB		pENTR TOPO(KanR)
BT000056	AT5G20920	AD	DB		pENTR TOPO(KanR)
BT000057	AT3G18050	AD	DB		pENTR TOPO(KanR)
BT000058	AT5G13710	AD	DB		pENTR TOPO(KanR)
BT000059	AT1G29965	AD	DB		pENTR TOPO(KanR)
BT000060	AT2G39670	AD	DB		pENTR TOPO(KanR)
BT000061	AT4G03400	AD	DB		pENTR TOPO(KanR)
BT000064	AT1G05890	AD	DB		pENTR TOPO(KanR)
BT000065	AT5G06410	AD	DB		pENTR TOPO(KanR)
BT000066	AT4G00620	AD	DB		pENTR TOPO(KanR)
BT000067	AT1G48570	AD			pENTR TOPO(KanR)
BT000068	AT2G29960	AD	DB		pENTR TOPO(KanR)
BT000069	AT1G53750	AD	DB		pENTR TOPO(KanR)
BT000070	AT1G80400	AD	DB		pENTR TOPO(KanR)
BT000071	AT4G32605	AD	DB		pENTR TOPO(KanR)
BT000072	AT5G20140	AD	DB		pENTR TOPO(KanR)
BT000073	AT5G61060	AD	DB		pENTR TOPO(KanR)
BT000074	AT4G26710	AD	DB		pENTR TOPO(KanR)
BT000075	AT4G00570	AD	DB		pENTR TOPO(KanR)
BT000076	AT2G34480	AD	DB		pENTR TOPO(KanR)
BT000077	AT2G30870	AD	DB		pENTR TOPO(KanR)
BT000078	AT1G75400	AD	DB		pENTR TOPO(KanR)
BT000079	AT3G20790	AD	DB		pENTR TOPO(KanR)
BT000080	AT2G03390	AD	DB		pENTR TOPO(KanR)
BT000081	AT2G26800	AD	DB		pENTR TOPO(KanR)
BT000082	AT5G37540	AD	DB		pENTR TOPO(KanR)
BT000083	AT2G42910	AD	DB		pENTR TOPO(KanR)
BT000084	AT2G38610	AD	DB		pENTR TOPO(KanR)
BT000086	AT5G03850	AD	DB		pENTR TOPO(KanR)
BT000087	AT3G07460	AD	DB		pENTR TOPO(KanR)
BT000089	AT2G45710	AD			pENTR TOPO(KanR)
BT000090	AT4G37370	AD	DB		pENTR TOPO(KanR)
BT000092	AT3G55730	AD	DB		pENTR TOPO(KanR)
BT000093	AT3G47470	AD	DB		pENTR TOPO(KanR)
BT000094	AT4G24940	AD			pENTR TOPO(KanR)
BT000095	AT5G40970	AD	DB		pENTR TOPO(KanR)
BT000096	AT4G18910	AD			pENTR TOPO(KanR)
BT000097	AT1G77710	AD	DB		pENTR TOPO(KanR)
BT000098	AT2G40970	AD			pENTR TOPO(KanR)
BT000099	AT4G11310	AD	DB		pENTR TOPO(KanR)
BT000100	AT2G30150	AD	DB		pENTR TOPO(KanR)
BT000101	AT2G29125	AD	DB		pENTR TOPO(KanR)
BT000102	AT1G06850	AD			pENTR TOPO(KanR)
BT000103	AT2G33210	AD	DB		pENTR TOPO(KanR)
BT000104	AT5G48385	AD	DB		pENTR TOPO(KanR)
BT000105	AT1G22760	AD	DB		pENTR TOPO(KanR)
BT000106	AT2G21330	AD	DB		pENTR TOPO(KanR)
BT000107	AT1G48430	AD	DB		pENTR TOPO(KanR)
BT000108	AT1G25490	AD	DB		pENTR TOPO(KanR)
BT000109	AT1G51690	AD	DB		pENTR TOPO(KanR)
BT000110	AT1G19715	AD	DB		pENTR TOPO(KanR)
BT000111	AT3G57400	AD	DB		pENTR TOPO(KanR)
BT000112	AT1G33980	AD	DB		pENTR TOPO(KanR)
BT000113	No mapping	AD			pENTR TOPO(KanR)
BT000114	AT4G27050	AD	DB		pENTR TOPO(KanR)
BT000115	AT5G59420	AD	DB		pENTR TOPO(KanR)
BT000116	AT4G08500	AD			pENTR TOPO(KanR)
BT000117	AT5G59430	AD	DB		pENTR TOPO(KanR)
BT000118	No mapping	AD	DB		pENTR TOPO(KanR)
BT000120	AT3G52950	AD	DB		pENTR TOPO(KanR)
BT000122	No mapping	AD	DB		pENTR TOPO(KanR)
BT000123	AT2G04650	AD	DB		pENTR TOPO(KanR)
BT000124	AT5G48000	AD	DB		pENTR TOPO(KanR)
BT000125	AT1G63130	AD	DB		pENTR TOPO(KanR)
BT000126	AT4G27680	AD	DB		pENTR TOPO(KanR)
BT000127	AT5G59090	AD	DB		pENTR TOPO(KanR)
BT000128	AT5G19010	AD	DB		pENTR TOPO(KanR)
BT000129	AT1G19740	AD	DB		pENTR TOPO(KanR)
BT000130	AT5G07860	AD	DB		pENTR TOPO(KanR)
BT000131	AT4G36480	AD	DB		pENTR TOPO(KanR)
BT000132	AT1G09840	AD	DB		pENTR TOPO(KanR)
BT000134	AT1G72340	AD	DB		pENTR TOPO(KanR)
BT000135	AT2G29300	AD			pENTR TOPO(KanR)
BT000136	AT3G48670	AD			pENTR TOPO(KanR)
BT000137	AT4G00500	AD	DB		pENTR TOPO(KanR)
BT000138	AT1G66960	AD	DB		pENTR TOPO(KanR)
BT000139	AT5G25220	AD	DB		pENTR TOPO(KanR)
BT000140	AT3G05530	AD	DB		pENTR TOPO(KanR)
BT000141	AT5G55580	AD	DB		pENTR TOPO(KanR)
BT000143	AT1G09760	AD	DB		pENTR TOPO(KanR)
BT000144	AT4G04890	AD	DB		pENTR TOPO(KanR)
BT000145	AT1G58180	AD	DB		pENTR TOPO(KanR)
BT000146	AT1G67340	AD	DB		pENTR TOPO(KanR)
BT000147	AT1G04850	AD	DB		pENTR TOPO(KanR)
BT000148	AT4G04020	AD	DB		pENTR TOPO(KanR)
BT000151	AT4G00740	AD	DB		pENTR TOPO(KanR)
BT000152	AT1G16670	AD	DB		pENTR TOPO(KanR)
BT000154	AT3G28715	AD	DB		pENTR TOPO(KanR)
BT000155	AT1G01510	AD	DB		pENTR TOPO(KanR)
BT000156	AT5G26110	AD	DB		pENTR TOPO(KanR)
BT000157	AT4G16143	AD	DB		pENTR TOPO(KanR)
BT000158	AT5G66950	AD	DB		pENTR TOPO(KanR)
BT000159	AT2G40940	AD	DB		pENTR TOPO(KanR)
BT000160	AT4G35040	AD			pENTR TOPO(KanR)
BT000161	AT2G16720	AD			pENTR TOPO(KanR)
BT000162	AT5G23110	AD	DB		pENTR TOPO(KanR)
BT000163	AT5G51560	AD	DB		pENTR TOPO(KanR)
BT000164	AT1G28120	AD	DB		pENTR TOPO(KanR)
BT000165	AT5G46800	AD	DB		pENTR TOPO(KanR)
BT000166	AT3G13190	AD	DB		pENTR TOPO(KanR)
BT000167	AT5G39570	AD	DB		pENTR TOPO(KanR)
BT000168	AT1G78370	AD	DB		pENTR TOPO(KanR)
BT000169	AT5G67290	AD	DB		pENTR TOPO(KanR)
BT000170	AT5G22070	AD	DB		pENTR TOPO(KanR)
BT000171	AT3G22530	AD			pENTR TOPO(KanR)
BT000172	AT3G54960	AD	DB		pENTR TOPO(KanR)
BT000173	AT3G07100	AD	DB		pENTR TOPO(KanR)
BT000174	AT5G56130	AD	DB		pENTR TOPO(KanR)
BT000175	AT1G75660	AD	DB		pENTR TOPO(KanR)
BT000176	AT1G62780	AD			pENTR TOPO(KanR)
BT000177	No mapping	AD	DB		pENTR TOPO(KanR)
BT000179	AT4G29740	AD	DB		pENTR TOPO(KanR)
BT000180	AT4G08770	AD	DB		pENTR TOPO(KanR)
BT000181	AT4G12910	AD	DB		pENTR TOPO(KanR)
BT000183	AT4G13400	AD	DB		pENTR TOPO(KanR)
BT000184	AT5G60940	AD	DB		pENTR TOPO(KanR)
BT000185	AT2G25930	AD			pENTR TOPO(KanR)
BT000186	AT3G58460	AD	DB		pENTR TOPO(KanR)
BT000187	AT1G14520	AD			pENTR TOPO(KanR)
BT000188	AT1G19110	AD	DB		pENTR TOPO(KanR)
BT000189	AT3G47940	AD	DB		pENTR TOPO(KanR)
BT000190	AT2G47030	AD	DB		pENTR TOPO(KanR)
BT000191	AT1G08380	AD	DB		pENTR TOPO(KanR)
BT000192	AT1G15385	AD	DB		pENTR TOPO(KanR)
BT000193	AT2G26770	AD	DB		pENTR TOPO(KanR)
BT000194	AT4G15393	AD	DB		pENTR TOPO(KanR)
BT000195	AT3G26910	AD	DB		pENTR TOPO(KanR)
BT000196	AT5G07370	AD	DB		pENTR TOPO(KanR)
BT000197	AT1G09920	AD	DB		pENTR TOPO(KanR)
BT000199	AT1G69260	AD	DB		pENTR TOPO(KanR)
BT000200	AT1G19880	AD	DB		pENTR TOPO(KanR)
BT000201	AT3G04710	AD	DB		pENTR TOPO(KanR)
BT000202	No mapping	AD	DB		pENTR TOPO(KanR)
BT000203	AT1G23480	AD	DB		pENTR TOPO(KanR)
BT000204	AT1G54170	AD	DB		pENTR TOPO(KanR)
BT000205	AT2G36840	AD	DB		pENTR TOPO(KanR)
BT000206	AT3G01490	AD	DB		pENTR TOPO(KanR)
BT000207	AT2G32260	AD	DB		pENTR TOPO(KanR)
BT000208	AT2G26930	AD	DB		pENTR TOPO(KanR)
BT000209	AT2G33110	AD	DB		pENTR TOPO(KanR)
BT000210	AT2G21370	AD			pENTR TOPO(KanR)
BT000211	AT4G28510	AD	DB		pENTR TOPO(KanR)
BT000212	AT4G15545	AD	DB		pENTR TOPO(KanR)
BT000213	AT5G50350	AD	DB		pENTR TOPO(KanR)
BT000214	AT3G10140	AD	DB		pENTR TOPO(KanR)
BT000215	AT1G72900	AD	DB		pENTR TOPO(KanR)
BT000216	AT5G23520	AD	DB		pENTR TOPO(KanR)
BT000217	AT5G59950	AD	DB		pENTR TOPO(KanR)
BT000218	AT5G63470	AD	DB		pENTR TOPO(KanR)
BT000219	AT5G42820	AD	DB		pENTR TOPO(KanR)
BT000221	AT5G53880	AD			pENTR TOPO(KanR)
BT000222	AT4G08230	AD	DB		pENTR TOPO(KanR)
BT000223	AT2G36895	AD	DB		pENTR TOPO(KanR)
BT000224	AT2G34310	AD	DB		pENTR TOPO(KanR)
BT000225	AT5G09970	AD	DB		pENTR TOPO(KanR)
BT000226	AT5G52230	AD	DB		pENTR TOPO(KanR)
BT000227	AT1G76160	AD	DB		pENTR TOPO(KanR)
BT000228	AT5G66720	AD	DB		pENTR TOPO(KanR)
BT000229	AT5G06420	AD	DB		pENTR TOPO(KanR)
BT000230	AT3G09260	AD	DB		pENTR TOPO(KanR)
BT000231	AT2G30590	AD	DB		pENTR TOPO(KanR)
BT000232	AT1G13380	AD	DB		pENTR TOPO(KanR)
BT000233	AT1G78150	AD	DB		pENTR TOPO(KanR)
BT000235	AT4G18100	AD			pENTR TOPO(KanR)
BT000236	AT2G33710	AD	DB		pENTR TOPO(KanR)
BT000237	AT5G01970	AD	DB		pENTR TOPO(KanR)
BT000238	AT5G20910	AD			pENTR TOPO(KanR)
BT000239	AT1G58440	AD	DB		pENTR TOPO(KanR)
BT000240	AT3G26630	AD	DB		pENTR TOPO(KanR)
BT000241	AT4G23290	AD	DB		pENTR TOPO(KanR)
BT000242	AT1G78270	AD	DB		pENTR TOPO(KanR)
BT000243	AT2G31260	AD	DB		pENTR TOPO(KanR)
BT000244	AT1G72910	AD	DB		pENTR TOPO(KanR)
BT000245	AT1G50430	AD	DB		pENTR TOPO(KanR)
BT000246	AT4G10390	AD	DB		pENTR TOPO(KanR)
BT000247	AT5G25440	AD	DB		pENTR TOPO(KanR)
BT000248	AT5G26710	AD	DB		pENTR TOPO(KanR)
BT000249	AT5G14420	AD	DB		pENTR TOPO(KanR)
BT000250	AT1G56190	AD	DB		pENTR TOPO(KanR)
BT000251	AT1G60710	AD	DB		pENTR TOPO(KanR)
BT000252	AT3G10340	AD	DB		pENTR TOPO(KanR)
BT000253	AT5G48110	AD	DB		pENTR TOPO(KanR)
BT000255	AT5G38530	AD	DB		pENTR TOPO(KanR)
BT000256	AT5G13500	AD	DB		pENTR TOPO(KanR)
BT000257	AT5G66200	AD	DB		pENTR TOPO(KanR)
BT000258	AT3G18440	AD	DB		pENTR TOPO(KanR)
BT000259	AT5G17700	AD	DB		pENTR TOPO(KanR)
BT000260	AT5G20930	AD	DB		pENTR TOPO(KanR)
BT000261	AT4G28640	AD	DB		pENTR TOPO(KanR)
BT000262	AT2G34380	AD			pENTR TOPO(KanR)
BT000263	AT5G65950	AD	DB		pENTR TOPO(KanR)
BT000264	AT2G19760	AD	DB		pENTR TOPO(KanR)
BT000265	AT4G30490	AD	DB		pENTR TOPO(KanR)
BT000266	AT1G53230	AD	DB		pENTR TOPO(KanR)
BT000267	AT4G26140	AD	DB		pENTR TOPO(KanR)
BT000268	AT1G31730	AD	DB		pENTR TOPO(KanR)
BT000269	AT1G21400	AD	DB		pENTR TOPO(KanR)
BT000270	AT3G02740	AD			pENTR TOPO(KanR)
BT000271	AT2G26240	AD	DB		pENTR TOPO(KanR)
BT000272	AT1G65230	AD	DB		pENTR TOPO(KanR)
BT000273	AT1G80280	AD			pENTR TOPO(KanR)
BT000274	AT3G53560	AD	DB		pENTR TOPO(KanR)
BT000275	AT5G50450	AD	DB		pENTR TOPO(KanR)
BT000276	AT5G14590	AD	DB		pENTR TOPO(KanR)
BT000277	AT5G64610	AD	DB		pENTR TOPO(KanR)
BT000278	AT4G20300	AD	DB		pENTR TOPO(KanR)
BT000279	AT1G12760	AD	DB		pENTR TOPO(KanR)
BT000280	AT5G53420	AD	DB		pENTR TOPO(KanR)
BT000281	AT4G11530	AD	DB		pENTR TOPO(KanR)
BT000282	AT5G01960	AD	DB		pENTR TOPO(KanR)
BT000283	AT1G56590	AD	DB		pENTR TOPO(KanR)
BT000284	AT5G17380	AD	DB		pENTR TOPO(KanR)
BT000285	AT5G58440	AD	DB		pENTR TOPO(KanR)
BT000286	AT4G28540	AD	DB		pENTR TOPO(KanR)
BT000287	AT5G54310	AD	DB		pENTR TOPO(KanR)
BT000288	AT1G74390	AD	DB		pENTR TOPO(KanR)
BT000289	AT3G48150	AD	DB		pENTR TOPO(KanR)
BT000290	AT1G20540	AD			pENTR TOPO(KanR)
BT000291	AT2G41180	AD	DB		pENTR TOPO(KanR)
BT000292	AT1G52880	AD	DB		pENTR TOPO(KanR)
BT000294	AT1G25510	AD	DB		pENTR TOPO(KanR)
BT000295	AT1G76520	AD	DB		pENTR TOPO(KanR)
BT000296	AT3G21240	AD	DB		pENTR TOPO(KanR)
BT000297	AT5G19950	AD	DB		pENTR TOPO(KanR)
BT000298	AT4G19210	AD	DB		pENTR TOPO(KanR)
BT000299	AT3G08650	AD	DB		pENTR TOPO(KanR)
BT000300	AT2G40930	AD	DB		pENTR TOPO(KanR)
BT000301	AT5G13980	AD	DB		pENTR TOPO(KanR)
BT000302	AT4G35160	AD	DB		pENTR TOPO(KanR)
BT000303	AT5G02540	AD	DB		pENTR TOPO(KanR)
BT000304	AT3G55960	AD	DB		pENTR TOPO(KanR)
BT000305	AT4G26400	AD	DB		pENTR TOPO(KanR)
BT000306	AT3G19000	AD	DB		pENTR TOPO(KanR)
BT000307	AT4G23600	AD	DB		pENTR TOPO(KanR)
BT000308	AT4G30440	AD	DB		pENTR TOPO(KanR)
BT000309	AT1G19670	AD	DB		pENTR TOPO(KanR)
BT000310	AT5G66730	AD	DB		pENTR TOPO(KanR)
BT000311	AT3G27540	AD	DB		pENTR TOPO(KanR)
BT000312	AT1G22180	AD	DB		pENTR TOPO(KanR)
BT000313	AT5G59100	AD	DB		pENTR TOPO(KanR)
BT000314	AT1G48270	AD	DB		pENTR TOPO(KanR)
BT000315	AT3G63090	AD	DB		pENTR TOPO(KanR)
BT000316	AT5G53030	AD	DB		pENTR TOPO(KanR)
BT000317	AT2G24550	AD	DB		pENTR TOPO(KanR)
BT000318	AT4G07950	AD	DB		pENTR TOPO(KanR)
BT000319	AT1G19490	AD			pENTR TOPO(KanR)
BT000320	AT3G47675	AD	DB		pENTR TOPO(KanR)
BT000321	AT3G16800	AD	DB		pENTR TOPO(KanR)
BT000322	AT1G33811	AD	DB		pENTR TOPO(KanR)
BT000323	AT1G45688	AD	DB		pENTR TOPO(KanR)
BT000324	AT3G10630	AD			pENTR TOPO(KanR)
BT000325	AT4G05410	AD	DB		pENTR TOPO(KanR)
BT000326	AT3G59080	AD	DB		pENTR TOPO(KanR)
BT000327	AT5G54300	AD	DB		pENTR TOPO(KanR)
BT000328	AT3G56050	AD	DB		pENTR TOPO(KanR)
BT000330	AT4G00430	AD	DB		pENTR TOPO(KanR)
BT000331	AT3G12345	AD	DB		pENTR TOPO(KanR)
BT000332	AT1G33265	AD	DB		pENTR TOPO(KanR)
BT000333	AT5G65840	AD	DB		pENTR TOPO(KanR)
BT000334	AT4G38240	AD	DB		pENTR TOPO(KanR)
BT000335	AT2G34710	AD	DB		pENTR TOPO(KanR)
BT000336	AT1G69840	AD	DB		pENTR TOPO(KanR)
BT000337	AT1G49960	AD	DB		pENTR TOPO(KanR)
BT000338	AT4G26720	AD	DB		pENTR TOPO(KanR)
BT000339	AT5G64410	AD			pENTR TOPO(KanR)
BT000340	AT5G15610	AD	DB		pENTR TOPO(KanR)
BT000341	AT2G27580	AD	DB		pENTR TOPO(KanR)
BT000342	AT2G36410	AD	DB		pENTR TOPO(KanR)
BT000343	AT4G30140	AD	DB		pENTR TOPO(KanR)
BT000344	AT2G26260	AD	DB		pENTR TOPO(KanR)
BT000345	AT1G47420	AD	DB		pENTR TOPO(KanR)
BT000346	AT3G07160	AD	DB		pENTR TOPO(KanR)
BT000347	AT3G21610		DB		pENTR TOPO(KanR)
BT000348	AT1G07650	AD	DB		pENTR TOPO(KanR)
BT000349	AT5G60300	AD	DB		pENTR TOPO(KanR)
BT000350	AT2G01220	AD	DB		pENTR TOPO(KanR)
BT000351	AT5G62560	AD	DB		pENTR TOPO(KanR)
BT000352	AT4G01680	AD			pENTR TOPO(KanR)
BT000355	AT1G50320	AD	DB		pENTR TOPO(KanR)
BT000356	AT3G46660	AD	DB		pENTR TOPO(KanR)
BT000357	AT4G03020	AD	DB		pENTR TOPO(KanR)
BT000358	AT4G34760	AD	DB		pENTR TOPO(KanR)
BT000359	AT5G44580	AD	DB		pENTR TOPO(KanR)
BT000360	AT2G45010	AD	DB		pENTR TOPO(KanR)
BT000361	AT1G22660	AD	DB		pENTR TOPO(KanR)
BT000362	AT1G67090	AD			pENTR TOPO(KanR)
BT000366	AT1G73260	AD	DB		pENTR TOPO(KanR)
BT000367	AT3G19820	AD	DB		pENTR TOPO(KanR)
BT000368	AT3G47060	AD	DB		pENTR TOPO(KanR)
BT000369	AT5G44390	AD	DB		pENTR TOPO(KanR)
BT000370	AT1G27450	AD	DB		pENTR TOPO(KanR)
BT000374	AT3G14230	AD	DB		pENTR TOPO(KanR)
BT000375	AT5G35200	AD	DB		pENTR TOPO(KanR)
BT000376	AT4G29680	AD	DB		pENTR TOPO(KanR)
BT000379	AT2G41670	AD	DB		pENTR TOPO(KanR)
BT000381	AT3G08580	AD	DB		pENTR TOPO(KanR)
BT000383	AT1G51730	AD			pENTR TOPO(KanR)
BT000384	AT4G34030	AD	DB		pENTR TOPO(KanR)
BT000385	AT4G14040	AD	DB		pENTR TOPO(KanR)
BT000386	AT4G25610	AD	DB		pENTR TOPO(KanR)
BT000387	AT3G52730	AD			pENTR TOPO(KanR)
BT000388	AT4G36540	AD	DB		pENTR TOPO(KanR)
BT000389	AT1G54780	AD			pENTR TOPO(KanR)
BT000390	AT1G15420	AD	DB		pENTR TOPO(KanR)
BT000391	AT2G20320	AD	DB		pENTR TOPO(KanR)
BT000392	AT5G04950	AD			pENTR TOPO(KanR)
BT000393	AT2G17800	AD	DB		pENTR TOPO(KanR)
BT000394	AT5G11390	AD	DB		pENTR TOPO(KanR)
BT000395	AT4G20110	AD	DB		pENTR TOPO(KanR)
BT000396	AT4G32720	AD	DB		pENTR TOPO(KanR)
BT000397	AT2G20390	AD	DB		pENTR TOPO(KanR)
BT000398	AT1G32220	AD	DB		pENTR TOPO(KanR)
BT000399	AT1G75750	AD	DB		pENTR TOPO(KanR)
BT000400	AT5G49450	AD	DB		pENTR TOPO(KanR)
BT000401	AT1G76040	AD	DB		pENTR TOPO(KanR)
BT000402	AT4G17600	AD	DB		pENTR TOPO(KanR)
BT000403	AT3G55880	AD	DB		pENTR TOPO(KanR)
BT000404	AT4G12470	AD	DB		pENTR TOPO(KanR)
BT000405	AT3G21090	AD			pENTR TOPO(KanR)
BT000406	AT4G14040	AD	DB		pENTR TOPO(KanR)
BT000407	AT5G66570	AD	DB		pENTR TOPO(KanR)
BT000408	AT2G40950	AD	DB		pENTR TOPO(KanR)
BT000409	AT2G33040	AD	DB		pENTR TOPO(KanR)
BT000410	AT1G67360	AD	DB		pENTR TOPO(KanR)
BT000411	AT3G25520	AD	DB		pENTR TOPO(KanR)
BT000412	AT3G01330	AD	DB		pENTR TOPO(KanR)
BT000413	AT3G54210	AD			pENTR TOPO(KanR)
BT000414	AT1G30080	AD	DB		pENTR TOPO(KanR)
BT000415	AT4G21830	AD			pENTR TOPO(KanR)
BT000416	AT2G33410	AD	DB		pENTR TOPO(KanR)
BT000417	AT1G19920	AD	DB		pENTR TOPO(KanR)
BT000418	AT3G22230	AD	DB		pENTR TOPO(KanR)
BT000419	AT3G27830	AD	DB		pENTR TOPO(KanR)
BT000420	AT1G20696	AD	DB		pENTR TOPO(KanR)
BT000421	AT1G72370	AD	DB		pENTR TOPO(KanR)
BT000422	AT3G20490	AD	DB		pENTR TOPO(KanR)
BT000423	AT2G33845	AD			pENTR TOPO(KanR)
BT000476	AT2G36580	AD	DB	pENTR Sfi (SpecR)	
BT000477	AT1G53000	AD	DB	pENTR Sfi (SpecR)	
BT000478	AT3G55280		DB	pENTR Sfi (SpecR)	
BT000479	AT1G09500	AD	DB	pENTR Sfi (SpecR)	
BT000481	AT5G03970	AD	DB	pENTR Sfi (SpecR)	
BT000482	AT2G34770	AD	DB	pENTR Sfi (SpecR)	
BT000483	AT4G12960	AD	DB	pENTR Sfi (SpecR)	
BT000484	AT4G33410	AD	DB	pENTR Sfi (SpecR)	
BT000485	AT4G32850	AD	DB	pENTR Sfi (SpecR)	
BT000486	AT1G10240	AD	DB	pENTR Sfi (SpecR)	
BT000488	AT1G18480		DB	pENTR Sfi (SpecR)	
BT000489	AT5G01540	AD	DB	pENTR Sfi (SpecR)	
BT000491	AT5G43740	AD	DB	pENTR Sfi (SpecR)	
BT000493	AT5G13280	AD	DB	pENTR Sfi (SpecR)	
BT000494	AT5G08640	AD	DB	pENTR Sfi (SpecR)	
BT000495	AT4G39640	AD	DB	pENTR Sfi (SpecR)	
BT000497	AT3G08680		DB	pENTR Sfi (SpecR)	
BT000498	AT5G37940	AD	DB	pENTR Sfi (SpecR)	
BT000499	AT3G47670	AD	DB	pENTR Sfi (SpecR)	
BT000500	AT2G47610	AD	DB	pENTR Sfi (SpecR)	
BT000501	AT3G15450	AD	DB	pENTR Sfi (SpecR)	
BT000502	AT1G55530	AD	DB	pENTR Sfi (SpecR)	
BT000503	AT1G30200	AD	DB	pENTR Sfi (SpecR)	
BT000504	AT2G17110	AD	DB	pENTR Sfi (SpecR)	
BT000505	AT2G30580	AD	DB	pENTR Sfi (SpecR)	
BT000508	AT3G61710	AD	DB	pENTR Sfi (SpecR)	
BT000510	AT5G64840	AD	DB	pENTR Sfi (SpecR)	
BT000511	AT3G52840	AD	DB	pENTR Sfi (SpecR)	
BT000512	AT3G51180		DB	pENTR Sfi (SpecR)	
BT000513	AT2G21860	AD	DB	pENTR Sfi (SpecR)	
BT000514	AT1G70370	AD	DB	pENTR Sfi (SpecR)	
BT000515	AT1G52400	AD	DB	pENTR Sfi (SpecR)	
BT000516	AT2G41680	AD	DB	pENTR Sfi (SpecR)	
BT000518	AT2G48010	AD	DB	pENTR Sfi (SpecR)	
BT000519	AT3G60110	AD	DB	pENTR Sfi (SpecR)	
BT000521	AT5G54750	AD	DB	pENTR Sfi (SpecR)	
BT000523	AT5G66550	AD	DB	pENTR Sfi (SpecR)	
BT000524	AT5G07110	AD	DB	pENTR Sfi (SpecR)	
BT000527	AT4G02450	AD	DB	pENTR Sfi (SpecR)	
BT000528	AT4G22690	AD	DB	pENTR Sfi (SpecR)	
BT000529	AT2G22980	AD	DB	pENTR Sfi (SpecR)	
BT000530	AT5G60490	AD	DB	pENTR Sfi (SpecR)	
BT000532	AT1G03250	AD	DB	pENTR Sfi (SpecR)	
BT000533	AT3G43520	AD	DB	pENTR Sfi (SpecR)	
BT000534	AT2G25355	AD	DB	pENTR Sfi (SpecR)	
BT000535	AT4G36060	AD	DB	pENTR Sfi (SpecR)	
BT000536	AT3G01820	AD	DB	pENTR Sfi (SpecR)	
BT000538	AT4G35550	AD	DB	pENTR Sfi (SpecR)	
BT000539	AT4G00750	AD	DB	pENTR Sfi (SpecR)	
BT000541	AT4G21110	AD	DB	pENTR Sfi (SpecR)	
BT000542	AT1G23290	AD	DB	pENTR Sfi (SpecR)	
BT000543	AT3G17600		DB	pENTR Sfi (SpecR)	
BT000545	AT1G26740	AD	DB	pENTR Sfi (SpecR)	
BT000547	AT5G45020	AD	DB	pENTR Sfi (SpecR)	
BT000549	AT4G02920	AD	DB	pENTR Sfi (SpecR)	
BT000550	AT3G03330	AD	DB	pENTR Sfi (SpecR)	
BT000551	AT3G04770	AD	DB	pENTR Sfi (SpecR)	
BT000552	AT4G02340	AD	DB	pENTR Sfi (SpecR)	
BT000553	AT1G72820	AD	DB	pENTR Sfi (SpecR)	
BT000554	AT1G78670	AD	DB	pENTR Sfi (SpecR)	
BT000555	AT1G25375		DB	pENTR Sfi (SpecR)	
BT000557	AT2G10940	AD	DB	pENTR Sfi (SpecR)	
BT000564	AT5G45500	AD	DB	pENTR Sfi (SpecR)	
BT000566	AT1G15710	AD	DB	pENTR Sfi (SpecR)	
BT000567	AT2G31300	AD	DB	pENTR Sfi (SpecR)	
BT000568	AT4G30890	AD	DB	pENTR Sfi (SpecR)	
BT000569	AT1G27070	AD	DB	pENTR Sfi (SpecR)	
BT000570	AT4G20170	AD	DB	pENTR Sfi (SpecR)	
BT000571	AT2G47790	AD	DB	pENTR Sfi (SpecR)	
BT000572	AT1G49970	AD	DB	pENTR Sfi (SpecR)	
BT000573	AT4G36960	AD	DB	pENTR Sfi (SpecR)	
BT000575	AT4G01850	AD	DB	pENTR Sfi (SpecR)	
BT000577	AT2G38710	AD	DB	pENTR Sfi (SpecR)	
BT000579	AT5G28150	AD	DB	pENTR Sfi (SpecR)	
BT000583	AT3G19950	AD	DB	pENTR Sfi (SpecR)	
BT000585	AT3G55850	AD	DB	pENTR Sfi (SpecR)	
BT000586	AT5G17630	AD	DB	pENTR Sfi (SpecR)	
BT000587	AT4G31170	AD	DB	pENTR Sfi (SpecR)	
